url,status
https://www.parks.vic.gov.au/places-to-see/sites/cemetery-bend-west-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/cemetery-bend-west-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/cobrawonga-creek-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/dalley-bend-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/doc-grahams-hut-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/eastern-tyers-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/gravel-bend-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/halfway-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/halfway-bend-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/hicks-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/hiscocks-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/kalymna-campground,200
https://www.parks.vic.gov.au/places-to-see/sites/kangaroo-track-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/kate-malone-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/kate-malone-bend-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/kate-malone-bend-camping-area-3,200
https://www.parks.vic.gov.au/places-to-see/sites/leaghur-camp-area,200
https://www.parks.vic.gov.au/places-to-see/sites/long-bend-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/mcclures-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/mcclures-bend-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/mcclures-bend-camping-area-3,200
https://www.parks.vic.gov.au/places-to-see/sites/mcclures-bend-camping-area-4,200
https://www.parks.vic.gov.au/places-to-see/sites/mcclures-bend-camping-area-5,200
https://www.parks.vic.gov.au/places-to-see/sites/mckay-mill-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/mckay-mill-bend-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/melville-caves-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/mopoke-bend-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/munroe-track-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/munroe-track-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/nevins-beach-camping-area-,200
https://www.parks.vic.gov.au/places-to-see/sites/norris-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/norris-bend-camping-area-2-,200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-1-camping-area-1",200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-1-camping-area-2",200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-1-camping-area-3",200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-1-camping-area-4",200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-2-camping-area",200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-3-camping-area-1",200
"https://www.parks.vic.gov.au/places-to-see/sites/nursery-bend-no,-d-,-3-camping-area-2",200
"https://www.parks.vic.gov.au/places-to-see/sites/o,-d-,t,-d-,i,-d-,t,-d-,-camping-area",200
https://www.parks.vic.gov.au/places-to-see/sites/old-headworks-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/peter-creek-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/peter-creek-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/plantation-campground,200
https://www.parks.vic.gov.au/places-to-see/sites/raymond-creek-falls-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/robertson-track-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/sandbar-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/sandbar-bend-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/sandbar-bend-camping-area-3,200
https://www.parks.vic.gov.au/places-to-see/sites/scottys-bend-camping-area-,200
https://www.parks.vic.gov.au/places-to-see/sites/social-bend-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/social-bend-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/waratah-flat-campground,200
https://www.parks.vic.gov.au/places-to-see/sites/wattle-track-camping-area-1,200
https://www.parks.vic.gov.au/places-to-see/sites/wattle-track-camping-area-2,200
https://www.parks.vic.gov.au/places-to-see/sites/wattle-track-camping-area-3,200
https://www.parks.vic.gov.au/places-to-see/sites/wee-wee-rup-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/williams-bend-camping-area-3,200
https://www.parks.vic.gov.au/places-to-see/sites/woolshed-creek-camping-area,200
https://www.parks.vic.gov.au/places-to-see/sites/yaapeet-beach-campground,200
