id,name,parkName,lat,lng,lga,tourismRegion,googleQuery,googleQueryUrl,,
lake-tyers-s-p-camerons-arms-no-1-lake-tyers-s-p,"Camerons Arms No. 1, Lake Tyers S.P.",Lake Tyers S.P.,-37.77939603,148.1354039,EAST GIPPSLAND SHIRE,Gippsland,"Camerons Arms No. 1, Lake Tyers S.P. Lake Tyers S.P. site:parks.vic.gov.au/places-to-see",,,
lake-tyers-s-p-the-glasshouse-lake-tyers-s-p,"The Glasshouse, Lake Tyers S.P.",Lake Tyers S.P.,-37.84560102,148.1083009,EAST GIPPSLAND SHIRE,Gippsland,"The Glasshouse, Lake Tyers S.P. Lake Tyers S.P. site:parks.vic.gov.au/places-to-see",,,
lake-tyers-s-p-trident-arm-picinc-area-lake-tyers-s-p,"Trident Arm Picinc Area, Lake Tyers S.P.",Lake Tyers S.P.,-37.82320101,148.1350979,EAST GIPPSLAND SHIRE,Gippsland,"Trident Arm Picinc Area, Lake Tyers S.P. Lake Tyers S.P. site:parks.vic.gov.au/places-to-see",,,
lal-lal-bungal-h-a-lal-lal-bungle-historic-area-lal-lal-bungal-h-a,"Lal Lal Bungle Historic Area, Lal Lal - Bungal H.A.",Lal Lal - Bungal H.A.,-37.68119001,144.072081,MOORABOOL SHIRE,Daylesford and Macedon Ranges,"Lal Lal Bungle Historic Area, Lal Lal - Bungal H.A. Lal Lal - Bungal H.A. site:parks.vic.gov.au/places-to-see",,,
leaghur-state-park-south-of-lake-meran-leaghur-state-park,"South of Lake Meran, Leaghur State Park",Leaghur State Park,-35.89109397,143.806828,GANNAWARRA SHIRE,Murray,"South of Lake Meran, Leaghur State Park Leaghur State Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/leaghur-camp-area,,
lerderderg-state-park-o-briens-crossing-lerderderg-state-park,"O'Briens Crossing, Lerderderg State Park",Lerderderg State Park,-37.49603904,144.361229,MOORABOOL SHIRE,Daylesford and Macedon Ranges,"O'Briens Crossing, Lerderderg State Park Lerderderg State Park site:parks.vic.gov.au/places-to-see",,,
macleod-morass-w-r-macleod-morass-macleod-morass-w-r,"MacLeod Morass, Macleod Morass W.R.",Macleod Morass W.R.,-37.86159699,147.6415001,EAST GIPPSLAND SHIRE,Gippsland,"MacLeod Morass, Macleod Morass W.R. Macleod Morass W.R. site:parks.vic.gov.au/places-to-see",,,
mitchell-river-national-park-jerguson-point-mitchell-river-national-park,"Jerguson Point, Mitchell River National Park",Mitchell River National Park,-37.64971419,147.3534949,EAST GIPPSLAND SHIRE,Gippsland,"Jerguson Point, Mitchell River National Park Mitchell River National Park site:parks.vic.gov.au/places-to-see",,,
mitchell-river-national-park-rock-creek-mitchell-river-national-park,"Rock Creek, Mitchell River National Park",Mitchell River National Park,-37.60207803,147.3349388,EAST GIPPSLAND SHIRE,Gippsland,"Rock Creek, Mitchell River National Park Mitchell River National Park site:parks.vic.gov.au/places-to-see",,,
mitchell-river-national-park-woolshed-creek-camping-area-mitchell-river-national-park,"Woolshed Creek Camping Area, Mitchell River National Park",Mitchell River National Park,-37.69607097,147.365001,EAST GIPPSLAND SHIRE,Gippsland,"Woolshed Creek Camping Area, Mitchell River National Park Mitchell River National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/woolshed-creek-camping-area,,
moondarra-state-park-seninis-visitor-area-moondarra-state-park,"Seninis Visitor Area, Moondarra State Park",Moondarra State Park,-38.02358196,146.3399881,BAW BAW SHIRE,Gippsland,"Seninis Visitor Area, Moondarra State Park Moondarra State Park site:parks.vic.gov.au/places-to-see",,,
mornington-peninsula-national-park-greens-bush-mornington-peninsula-national-park,"Greens Bush, Mornington Peninsula National Park",Mornington Peninsula National Park,-38.46030102,144.9224089,MORNINGTON PENINSULA SHIRE,Mornington Peninsula,"Greens Bush, Mornington Peninsula National Park Mornington Peninsula National Park site:parks.vic.gov.au/places-to-see",,,
mount-beckworth-s-r-bracken-gully-picnic-area-mount-beckworth-s-r,"Bracken Gully Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.,-37.30876803,143.711595,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Bracken Gully Picnic Area, Mount Beckworth S.R. Mount Beckworth S.R. site:parks.vic.gov.au/places-to-see",,,
